지역,소재지,시설명,주소,연락처
경기도,용인시기흥구,백향목침례교회,"경기도 용인시 기흥구 보라하갈로 67 (하갈동, 보라제일교회)",031-286-2755
경기도,양주시,양주추모공원,경기도 양주시 율정로 42-22 (옥정동),031-866-4440
전라남도,여수시,지장대사 극락전봉안당,"전라남도 여수시 돌산읍 몰둠벙길 165(평사리, 지장대사)",061-644-1244
경상남도,김해시,봉안당에데나(낙원추모공원),경상남도 김해시 한림면 김해대로1402번길 148 (신천리),055-343-0656
전북특별자치도,전주시완산구,그린피아추모공원,전라북도 전주시 완산구 쑥고개옛길 51 (삼천동3가),063-237-1009
충청남도,당진시,석문공설묘지봉안묘,"충청남도 당진시 석문면 통정1길 86-38 (삼화리, 공설묘지관리사)",041-353-5944
경기도,화성시,화성함백산추모공원(별빛쉼터),경기도 화성시 매송면 서해로 2448-32 (숙곡리),031-240-9200
경기도,포천시,다보정사 안미원(봉안탑),경기도 포천시 창수면 옥수로262번길 98 (주원리),031-531-0561
인천광역시,연수구,흥륜사정토원,"인천광역시 연수구 청량로70번길 40-18,흥륜사 정토원 (동춘동)",032-834-1131
서울특별시,강동구,강동구추모의집,충청북도 음성군 금왕읍 덕금로 936-61 (용계리),043-881-4700
경기도,동두천시,이담추모관,경기도 동두천시 탑신로 562 (탑동동),031-867-4491
전라남도,구례군,재단법인 세심사하늘공원,"전라남도 구례군 구례읍 섬진강로 348-33 (계산리, 하늘공원)",061-782-0190
전북특별자치도,부안군,재단법인 미륵불교 봉안당,전라북도 부안군 상서면 저기양산길 16-3 (가오리),063-582-5509
강원특별자치도,정선군,정선하늘터,강원특별자치도 정선군 사북읍 소금강로 3500-34 (사북리),033-560-3460
경기도,양평군,양평추모공원 더포레,경기도 양평군 청운면 벗고갯길 45-20 (가현리),031-774-4415
강원특별자치도,원주시,휴마루,"강원특별자치도 원주시 흥업면 복술길 33 (사제리, 원주추모공원하늘나래원)",033-749-4870
제주특별자치도,제주시,조천읍 공설봉안묘(만장),제주특별자치도 제주시 조천읍 선흘리 4117,064-728-7832
충청북도,충주시,대한불교조계종 화암사,충청북도 충주시 동량면 화암양목길 139 (화암리),043-856-1895
전북특별자치도,완주군,(재)천주교유지재단 천호성지,"전라북도 완주군 비봉면 천호성지길 124 (내월리, 천호성지)",063-262-1014
경상북도,포항시북구,천주교 대구교구 죽도성당,경상북도 포항시 북구 죽도로 20 (죽도동),054-273-3441
인천광역시,부평구,인천가족공원 평온당,인천광역시 부평구 평온로 61 (부평동),032-456-2320
제주특별자치도,서귀포시,대정읍봉안당(만장),제주특별자치도 서귀포시 대정읍 일주서로2498번길 133-45 (보성리),064-760-4031
제주특별자치도,제주시,한라산 옥불사 봉안탑,제주특별자치도 제주시 애월읍 평화로 2016 (소길리),064-799-1783
경상북도,영주시,고경사추모공원,경상북도 영주시 평은면 녹지로 216 (지곡리),054-637-8885
경상북도,칠곡군,용운사 납골당,경상북도 칠곡군 동명면 득명2길 110 (득명리),054-973-3677
인천광역시,강화군,갑곶순교성지 천국의 문,"인천광역시 강화군 강화읍 해안동로1366번길 35 (갑곳리, 갑곶순교성지)",032-933-1525
전북특별자치도,완주군,완주군 추모의집,전라북도 완주군 봉동읍 우주로 270-68 (구암리),063-290-2208
충청남도,청양군,청양군추모공원(봉안당),충청남도 청양군 화성면 신수길 142-18 (수정리),041-940-2086
경기도,의왕시,오봉산추모공원 봉안담,"경기도 의왕시 안골로 44 (고천동, 오봉정사)",031-452-4814
경기도,고양시덕양구,해인사미타원,경기도 고양시 덕양구 대양로 84-80 (대자동),031-963-7588
경기도,수원시영통구,수원시연화장 봉안담,"경기도 수원시 영통구 광교호수로 278 (하동, 수원시연화장)",031-218-6524
대구광역시,달성군,대한불교조계종 광덕사,"대구광역시 달성군 가창면 헐티로 1190 (용계리, 광덕사)",053-763-0068
경기도,양평군,사랑의동산,"경기도 양평군 지평면 금의길 36-27 사랑의동산 (망미리, 양평금식기도원)",031-775-0096
경상북도,경주시,대원사추모공원 봉안당,"경상북도 경주시 양남면 명주길 864-5 (효동리, 대원사)",054-743-1944
경상북도,구미시,(재)선산납골당,경상북도 구미시 옥성면 선상동로 419 (초곡리),054-481-0409
경상북도,영천시,개원추모공원 봉안탑,경상북도 영천시 신녕면 장수로 2238-28 (화남리),054-336-0992
경기도,파주시,새문안추모관,경기도 파주시 광탄면 보광로 389 (영장리),031-937-8264
전북특별자치도,김제시,(재)지평선전북공원묘원(봉안),전라북도 김제시 금구면 선암1길 290 (선암리),063-546-5011
전라남도,무안군,천국의계단추모관(재단법인천국),"전라남도 무안군 일로읍 죽사동길 179-126 (지장리, 천국의계단추모관)",061-281-8661
경상북도,안동시,(재)안동추모공원(봉안당),경상북도 안동시 풍산읍 본마을길 36-69 (노리),054-843-7023
전라남도,진도군,보배숲추모공원 봉안담,"전라남도 진도군 진도읍 진도대로 7363-110 (동외리, 관리사무소)",
충청북도,청주시상당구,늘푸른안식관,충청북도 청주시 상당구 미원면 운암계원로 189-29 (운암리),043-295-5004
경상남도,김해시,김해추모의집 제1봉안당,경상남도 김해시 주촌면 서부로1637번길 574 (덕암리),055-337-3948
경상남도,양산시,광천사 봉안당,경상남도 양산시 하북면 백록로 116 (백록리),055-381-1199
경상북도,경산시,석장사 봉안당,경상북도 경산시 용성면 구룡마을길 90 (매남리),053-857-2225
대구광역시,군위군,가톨릭군위묘원 성모의정원,대구광역시 군위군 군위읍 용대2길 258 (용대리),053-250-3000
경기도,양평군,(재)자하연팔당(봉안),경기도 양평군 양서면 목왕로688번길 71 (목왕리),031-772-7102
경기도,광주시,(재)미타불교원,경기도 광주시 용샘길 101 (목현동),031-763-0134
경기도,연천군,오봉사 봉안묘,경기도 연천군 연천읍 현문로245번길 384 (고문리),031-834-2140
인천광역시,강화군,강화파라다이스 강화지점,인천광역시 강화군 송해면 강화대로 879-16 (하도리),1599-9442
경상북도,성주군,삼광사추모공원 봉안당,"경상북도 성주군 월항면 지산로 208 (지방리, 삼광사)",054-971-5669
제주특별자치도,제주시,천주교 황사평 봉안묘,제주특별자치도 제주시 기와5길 117-22 (화북이동),064-751-0145
경기도,가평군,대한불교삼계종성불사 자인당,"경기도 가평군 상면 봉수로 40-108 (봉수리, 성불사)",031-584-3668
광주광역시,북구,광주영락공원 제2봉안당,"광주광역시 북구 영락공원로 171 (효령동, 영락공원)",062-572-4384
전북특별자치도,익산시,익산하늘공원봉안시설,"전라북도 익산시 무왕로 1471-63 (석왕동, 익산공원묘지)",063-859-3847
충청북도,음성군,예은추모공원,충청북도 음성군 금왕읍 덕금로 936-61 (용계리),043-881-4700
경상북도,울진군,우리추모공원 봉안탑,"경상북도 울진군 기성면 기성로 912-24 (사동리, 영명사)",054-788-9790
경상북도,성주군,(재)남양공원묘원 추모관,경상북도 성주군 선남면 관용로 401-41 (오도리),054-932-4444
전라남도,고흥군,비봉사 봉안탑,"전라남도 고흥군 도양읍 차경구렁목길 237-46 (용정리, 비봉사)",
경기도,이천시,(재)한국SGI이천평화공원,경기도 이천시 마장면 서이천로528번길 115 (목리),031-638-0871
충청북도,충주시,석종사,"충청북도 충주시 직동길 271-56 (직동, 석종사)",043-854-4505
경기도,김포시,무지개뜨는언덕,"경기도 김포시 김포한강4로 419-39 (마산동, 무지개뜨는언덕)",031-997-1641
경상북도,칠곡군,현대공원 추모의집,경상북도 칠곡군 동명면 다부거문1길 51-75 (가천리),054-972-6375
충청남도,논산시,성불사 봉안탑,충청남도 논산시 상월면 상월로486번길 81 (대명리),041-734-0545
경상북도,영주시,(재)영봉추모공원,경상북도 영주시 이산면 봉화로 140-42 (신암리),054-633-8700
경기도,용인시처인구,천주교용인공원묘원(봉안),"경기도 용인시 처인구 모현면 오산로 154-62 (오산리, 천주교공원묘지)",031-334-0807
경기도,여주시,남한강공원묘원(봉안),경기도 여주시 가남읍 송삼로 459-35 (금곡리),031-882-6689
강원특별자치도,홍천군,홍천군공설묘원 봉안묘,강원특별자치도 홍천군 홍천읍 느리울길 141-22 (하오안리),033-430-2106
제주특별자치도,서귀포시,남국선원봉안탑,제주특별자치도 서귀포시 돈내코로 296-127 (상효동),064-733-2278
경기도,가평군,영은설악동산,"경기도 가평군 설악면 묵안로 575 (설곡리, 설악영은교회)",031-584-2775
경상남도,합천군,합천추모공원 봉안당,경상남도 합천군 합천읍 합천호수로 1633 (합천리),055-931-4000
경기도,가평군,가평추모공원(봉안시설),경기도 가평군 가평읍 읍내리 산25,031-580-2583
서울특별시,서울특별시,용미리분묘형추모의집,"경기도 파주시 광탄면 명봉산로262번길 290 (용미리, 용미1리1묘지공원안내실)",031-943-1930
강원특별자치도,춘천시,경춘공원묘원,강원특별자치도 춘천시 서면 노동길 181 (안보리),033-263-7300
경기도,양주시,대원정사 봉안담,경기도 양주시 장흥면 권율로309번길 317-214 (석현리),031-855-5501
경기도,양주시,청련사 극락원,경기도 양주시 장흥면 권율로 169 (석현리),031-836-0827
경기도,의정부시,하늘의문(천주교 신곡2동성당),경기도 의정부시 금신로296번길 61 (신곡동),031-856-0191
경기도,용인시처인구,약천사,"경기도 용인시 처인구 양지면 양지로63번길 9-18 (양지리, 약천사)",031-338-3362
경상남도,진주시,진주안락공원 추모당,"경상남도 진주시 진산로 141-42 (장재동, 진주시안락공원)",055-759-3672
경상남도,양산시,천불사 극락원,경상남도 양산시 매곡4길 35 (매곡동),055-372-1800
제주특별자치도,제주시,양지공원 제2추모의집,"제주특별자치도 제주시 516로 2810-31 (영평동, 양지공원)",064-710-6622
대구광역시,군위군,실로암추모관,"대구광역시 군위군 효령면 용매로 1011-43 (고곡리, 실로암교회)",054-382-8845
대전광역시,서구,정안사,대전광역시 서구 사기점골길 195 (평촌동),053-472-4814
경기도,고양시일산동구,(주)청아공원,"경기도 고양시 일산동구 은마길 129 (설문동, 청아공원)",031-977-9911
경기도,동두천시,탑동추모공원,경기도 동두천시 천보산로359번길 22 (탑동동),031-867-5760
경상남도,거제시,이진암 안양원,경상남도 거제시 일운면 옥녀봉길 48 (옥림리),055-681-3569
광주광역시,동구,문빈정사,"광주광역시 동구 증심사길 81 (운림동, 문빈정사)",062-228-0108
서울특별시,구로구,천주교회 구로3동 성당 봉안당,"서울특별시 구로구 디지털로27길 82 (구로동, 구로3동천주교회)",02-857-8541
경상북도,경산시,삼성사 봉안당,경상북도 경산시 상대로 423 (유곡동),053-856-1110
전라남도,신안군,신안1004추모관,전라남도 목포시 고하대로 1140-41 (대양동),061-246-1001
전라남도,보성군,대한불교선각종 정향사,전라남도 보성군 득량면 분지길 25-65 (송곡리),061-3362-2715
충청남도,아산시,혜명사 봉안당,충청남도 아산시 염치읍 쌍죽길 133-7 (쌍죽리),041-543-1477
충청남도,천안시동남구,천안추모공원 봉안당,충청남도 천안시 동남구 광덕면 밤나무골길 38 (원덕리),041-529-5141
경상북도,김천시,김천시립추모공원(봉안당),경상북도 김천시 봉산면 영남대로 431 (신암리),054-421-1616
강원특별자치도,춘천시,아름다운추모원,강원특별자치도 춘천시 옛경춘로 387-24 (칠전동),033-263-1668
경기도,포천시,도성사 봉안당,경기도 포천시 화현면 화동로596번길 90 (화현리),031-533-8815
경기도,수원시영통구,수원시연화장 추모의집,"경기도 수원시 영통구 광교호수로 278 (하동, 수원시연화장)",031-218-6524
서울특별시,서울특별시,용미리벽식추모의집,"경기도 파주시 광탄면 명봉산로262번길 290 (용미리, 용미1리1묘지공원안내실)",031-943-1930
전라남도,완도군,완도군추모공원 봉안당,전라남도 완도군 군외면 청해진서로 1702 (삼두리),061-550-5328
경상남도,밀양시,(재)밀양추모공원묘원 봉안담,경상남도 밀양시 무안면 창밀로 2890-150,070-8230-1009
경기도,의왕시,성 라자로마을,"경기도 의왕시 원골로 66 (오전동, 성라자로마)",031-452-5655
경상북도,경주시,보은사납골당,경상북도 경주시 건천읍 단석로 1803-86 (송선리),054-751-9667
경상북도,영천시,나자렛집,경상북도 영천시 화산면 가일길 118 (연계리),054-033-0125
충청남도,천안시동남구,(재)천안공원(봉안시설),충청남도 천안시 동남구 광덕면 광덕로 383 (신덕리),1544-4471
제주특별자치도,서귀포시,표선면봉안당,제주특별자치도 서귀포시 표선면 서성일로189번길 313 (성읍리),064-760-4431
대구광역시,군위군,(재)신세계공원묘원,대구광역시 군위군 효령면 녹동길 129-190 (장군리),054-382-5250
경상남도,통영시,통영시공설봉안당,경상남도 통영시 장대길 144 (정량동),055-650-4883
경기도,파주시,동화경모공원(봉안),"경기도 파주시 탄현면 헤이리로 98 (법흥리, 동화경모공원)",031-945-3226
부산광역시,기장군,소원사,"부산광역시 기장군 정관읍 정관중앙로 198 (용수리, 소원사)",051-727-3050
경기도,의왕시,오봉산추모공원 봉안당,"경기도 의왕시 안골로 44 (고천동, 오봉정사)",031-452-4814
경상북도,경산시,(재)금곡장미공원 봉안당,경상북도 경산시 남천면 금곡길 28-75 (금곡리),053-814-8800
전북특별자치도,군산시,군산시추모관,,063-454-7952
대구광역시,남구,대한불교조계종 대관음사 봉안당,"대구광역시 남구 중앙대로 126, 한국불교대학 대관음사 (봉덕동)",053-474-8228
경상남도,함양군,함양군구룡공설공원묘지 봉안탑,경상남도 함양군 함양읍 구룡리 산11,055-960-5145
경기도,광명시,광명메모리얼파크,경기도 광명시 자경로 153 (일직동),02-2610-7380
경상북도,김천시,금릉공원묘원 제1봉안당,경상북도 김천시 봉산면 광천4길 155-200 (광천리),054-430-0333
경기도,이천시,이천시립 추모의집(봉안),경기도 이천시 백사면 지읍로53번길 159 (조읍리),031-637-7501
경기도,안양시만안구,보장사 영각당,경기도 안양시 만안구 예술공원로131번길 11 (석수동),031-471-3322
충청남도,아산시,(재)대전교구천주교회 성환묘원,"충청남도 아산시 음봉면 연암율금로 345-58 (소동리, 성환공원묘지)",042-630-7732
경상남도,창원시마산합포구,만월사,경상남도 창원시 마산합포구 구산면 수정2길 53-400 (수정리),055-221-6327
전북특별자치도,익산시,영모묘원 대원전,"전라북도 익산시 왕궁면 호반로 173-45 (동봉리, 영모묘원납골당)",063-836-4311
경상북도,안동시,우각사 봉안당,경상북도 안동시 풍산읍 죽전길 139-75 (죽전리),054-842-3996
세종특별자치시,세종특별자치시,흥륜사,세종특별자치시 전의면 소롱골길 50 (유천리),044-863-5373
경기도,연천군,연천동막골추모관,경기도 연천군 연천읍 동막로 109-29 (동막리),031-834-6560
부산광역시,연제구,정수사,부산광역시 연제구 톳고개로 60 (연산동),051-758-6022
대구광역시,동구,지장선원,"대구광역시 동구 갓바위로 35(진인동, 지장선원)",053-986-0151
경기도,고양시덕양구,연화추모공원,경기도 고양시 덕양구 성령길 2-1 (대자동),031-963-1141
전라남도,해남군,화원관광단지공설봉안당,전라남도 해남군 화원면 신덕리 250,061-530-5541
충청북도,옥천군,대한불교 조계종 보륜사 봉안당,충청북도 옥천군 군북면 감로길 55 (증약리),043-732-6545
충청북도,청주시상당구,충북불교문화회관 봉안당,충청북도 청주시 상당구 월평로184번길 101 (용암동),043-647-0711
경상남도,창원시,용주사,경상남도 창원시 의창구 동읍 의창대로491번길 176 (용강리),055-251-7542
충청북도,청주시,매화공원,충청북도 청주시 상당구 가덕면 상장인차로 460 (청용리),043-270-7320
전라남도,장성군,안양사푸른공원,전라남도 장성군 삼계면 용매골길 79 (화산리),061-394-9999
전라남도,여수시,여수시영락공원 제2봉안당,"전라남도 여수시 소라면 의곡길 494 (봉두리, 영락공원)",061-659-1795
경상남도,양산시,신불산추모공원 납골당,경상남도 양산시 어실로 602-1 (어곡동),055-363-4666
경상남도,의령군,의령군공설납골묘,"경상남도 의령군 정곡면 법정로 580-9 (예둔리, 공설묘원)",055-574-0694
서울특별시,강남구,강남구추모의집,충청북도 음성군 금왕읍 덕금로 936-61 (용계리),043-881-4700
경상남도,창원시,창원무량사 납골당,경상남도 창원시 의창구 북면 무릉산길 126 (무곡리),055-253-1808
경기도,양평군,양평기독교추모공원,"경기도 양평군 지평면 금의길 36-27 (망미리, 양평금식기도원)",031-775-0096
전라남도,해남군,추모관 천상의집,"전라남도 해남군 해남읍 해남로 160-83 (신안리, 선각사)",061-534-1304
경기도,안성시,천주교안성추모공원(봉안),경기도 안성시 보개면 보삼로 319-34 (북가현리),031-672-4276
제주특별자치도,제주시,연화원 봉안당,제주특별자치도 제주시 1100로 2528-111 (노형동),064-746-0070
경상북도,칠곡군,(재)조양공원 봉안당,경상북도 칠곡군 지천면 달방길 215 (달서리),054-979-2922
경기도,이천시,용학사,"경기도 이천시 모가면 진상미로1067번길 271 (송곡리, 용학사)",031-632-4885
경기도,안성시,안성시추모공원(봉안담),경기도 안성시 미양면 보촌4길 70 (고지리),031-677-9944
경기도,파주시,파주추모공원 봉안탑,경기도 파주시 파주읍 약수골길 86 (연풍리),031-952-4801
경상북도,영주시,실로암추모관,경상북도 영주시 평은면 녹지로 216 (지곡리),054-382-8845
전북특별자치도,무주군,무주추모의집(봉안),전라북도 무주군 무주읍 괴목로 1359-72 (당산리),063-322-2302
경상남도,김해시,불조사 휴안추모관,"경상남도 김해시 상동면 상동로 178-54 (우계리, 불조사)",055-724-3341
경기도,포천시,금호동성당 천보묘원(봉안),경기도 포천시 화합로 116 (동교동),031-541-0098
전라남도,담양군,천주교 광주교구 담양공원묘원,전라남도 담양군 월산면 월광로 512 (광암리),062-227-7124
서울특별시,은평구,흥창사,"서울특별시 은평구 통일로 1093 (진관동, 흥창사)",02-356-9075
경기도,양주시,대한불교덕성종 성보사 봉안당,경기도 양주시 백석읍 부흥로397번길 46 (연곡리),031-879-4691
전라남도,장성군,백양사 영각당,"전라남도 장성군 북하면 백양로 1239 (약수리, 백양사)",061-392-7502
전라남도,광양시,광양시립영세공원 봉안당,전라남도 광양시 광양읍 직동1길 300 (죽림리),061-762-4449
충청북도,영동군,대한불교 고당사재단,"충청북도 영동군 심천면 옥계폭포길 126 (고당리, 천국사)",043-742-5966
부산광역시,기장군,대정공원묘원 봉안묘,"부산광역시 기장군 정관읍 양수길 76 (용수리, 대정공원묘원관리소)",051-728-4949
경상북도,문경시,쌍용사 봉안당,"경상북도 문경시 농암면 칠봉로 755 (율수리, 쌍용사)",054-541-6753
경기도,파주시,대한불교조계종 검단사,"경기도 파주시 탄현면 필승로 292-33 (성동리, 검단사)",031-949-8729
충청남도,예산군,예산군추모공원,"충청남도 예산군 응봉면 예당로 1345-12 (평촌리, 예산군추모공원)",041-339-8251
경상북도,울릉군,울릉하늘섬공원,경상북도 울릉군 서면 태하령길 314 (남서리),054-791-1888
서울특별시,마포구,부활의집,"서울특별시 마포구 토정로 6-1(합정동, 절두산순교박물관영상교육)",070-8282-8223
경상남도,양산시,천주교하늘공원 봉안묘,"경상남도 양산시 상북면 공원로3길 19 (상삼리, 추모관)",055-374-8733
충청북도,제천시,몽암사 봉안탑,충청북도 제천시 강저로15길 152 (강제동),
경기도,안성시,유토피아추모공원(헤리티지관),경기도 안성시 일죽면 화곡길 126 (화곡리),031-673-7904
경기도,파주시,보광사,경기도 파주시 광탄면 보광로474번길 87 (영장리),031-948-4440
충청남도,금산군,금산군공설봉안당,충청남도 금산군 복수면 복수로 1015-71 (신대리),041-750-2482
경상남도,고성군,고성군공설봉안당,경상남도 고성군 상리면 장치로 220-163 (자은리),055-670-2923
경기도,안성시,유토피아추모관,"경기도 안성시 일죽면 화곡길 130 (화곡리, 유토피아추모관)",031-673-7904
충청남도,서산시,삼길사 봉안당,충청남도 서산시 대산읍 충의로 2779-45 (화곡리),041-663-7328
서울특별시,서울특별시,서울시립승화원 추모의집,경기도 고양시 덕양구 통일로 504 (대자동),031-960-0236
경기도,여주시,여주추모공원 봉안담,경기도 여주시 가남읍 여주남로 769 (본두리),031-880-4061
경상북도,김천시,김천추모공원,경상북도 김천시 농공단지길 20-26 (신음동),054-437-3119
경기도,고양시덕양구,예원추모관,경기도 고양시 덕양구 통일로 502-1 (대자동),1544-4054
경상북도,경주시,경주하늘마루봉안당,경상북도 경주시 서면 하늘마루길 330 (도리),054-751-2444
서울특별시,서울특별시,용미리왕릉벽식추모의집,"경기도 파주시 광탄면 명봉산로262번길 290 (용미리, 용미1리1묘지공원안내실)",031-943-1930
경상남도,진주시,프란치스꼬의집,경상남도 진주시 문산읍 상문리 169-2,055-759-2274
경상북도,영천시,(사)대한불교연화조계종 정림사,경상북도 영천시 화남면 용구길 253-45 (용계리),054-338-6300
서울특별시,용산구,용산성당 베다니아의집,"서울특별시 용산구 효창원로15길 37 (산천동, 용산천주교회)",02-719-3301
경기도,동두천시,안흥동공설묘지(봉안시설),경기도 동두천시 안흥동 산62,031-860-2266
경상남도,산청군,산청군공설묘지 본향원,"경상남도 산청군 신등면 신등가회로 357-17 (가술리, 본향원)",055-973-2491
전북특별자치도,완주군,(재)호정공원(봉안),전라북도 완주군 화산면 운곡로 381-64 (운곡리),063-214-1009
전라남도,여수시,여수시영락공원 제1봉안당,"전라남도 여수시 소라면 의곡길 494 (봉두리, 영락공원)",061-659-1795
전라남도,장성군,장성군추모공원,전라남도 장성군 삼계면 영장로 900 (부성리),061-393-0985
경상북도,영천시,생활불교밝은마음 봉안탑,"경상북도 영천시 화북면 탑들소일길 232 (죽전리, 덕흥사)",054-336-7126
전라남도,나주시,지장사 봉안당,전라남도 나주시 왕곡면 신포내동길 14-29 (신포리),
경상북도,경주시,(재)법화세계추모관,경상북도 경주시 내남면 내외로 1130-16 (노곡리),054-773-6605
세종특별자치시,세종특별자치시,영평사 추모공원,"세종특별자치시   장군면 영평사길 124 (산학리, 영평사)",044-862-0015
충청북도,옥천군,옥천군봉안당 선화원,충청북도 옥천군 군서면 성왕로 982 (월전리),043-733-4404
인천광역시,부평구,인천가족공원 봉안담(외국인 특화),"인천광역시 부평구 평온로 61 (부평동, 관리사무소및홍보관)",032-456-2320
충청북도,충주시,충주시 천상원,충청북도 충주시 목벌길 256 (목벌동),043-870-7867
강원특별자치도,화천군,화천공원묘원,강원특별자치도 화천군 하남면 원천리 9-13,033-440-4556
강원특별자치도,춘천시,일월사추모공원(봉안당),강원특별자치도 춘천시 남산면 봉의텃골길 149-10 (행촌리),033-243-3654
경기도,용인시기흥구,(재)용인추모원,"경기도 용인시 기흥구 중부대로 972 (상하동, 재단법인용인추모원)",031-283-1601
경상북도,문경시,약사사 하늘재추모원,경상북도 문경시 문경읍 관음2길 89 (관음리),054-572-3942
충청남도,천안시서북구,천안노블랜드하늘공원 봉안담,충청남도 천안시 서북구 입장면 시장리2길 77 (시장리),041-587-2100
대구광역시,군위군,가톨릭군위묘원 봉안담,대구광역시 군위군 군위읍 용대2길 258 (용대리),053-250-3000
경상북도,포항시,한국불교태고종 세심사,경상북도 포항시 북구 흥해읍 신덕로 80-65 (죽천리),
부산광역시,금정구,부산영락공원 봉안당,부산광역시 금정구 금정도서관로 108 (두구동),051-790-5000
경기도,광주시,광주공원묘원 봉안묘,경기도 광주시 매자리길 235 (매산동),031-762-0077
경상북도,울진군,우리추모공원 봉안당,"경상북도 울진군 기성면 기성로 912-24 (사동리, 영명사)",054-788-9790
경상북도,성주군,(재)우성공원 추모관,"경상북도 성주군 선남면 관용로 470-54 (용신리, 우성공원사무소)",054-933-1120
경상북도,포항시,무량사추모관,경상북도 포항시 북구 흥해읍 동해대로1393번길 111-99 (초곡리),054-261-7737
경기도,양평군,갈월사 봉안탑,"경기도 양평군 양평읍 충신로324번길 64 (창대리, 갈월사)",031-774-7374
인천광역시,부평구,인천가족공원 금마총,인천광역시 부평구 평온로 61 (부평동),032-456-2320
전북특별자치도,전주시완산구,모악추모공원,전라북도 전주시 완산구 우림로 714 (용복동),1577-3525
충청남도,부여군,영호추모공원,충청남도 부여군 세도면 해촌로63번길 43-9 (수고리),041-832-7004
서울특별시,성동구,성동구추모의집,경기도 화성시 향남읍 서봉로755번길 17-15(동오리),031-354-2325
충청남도,천안시,(재)풍산공원묘원 봉안묘,"충청남도 천안시 동남구 병천면 풍산공원길 70 (봉항리, 풍산공원묘역)",041-554-4199
경기도,성남시중원구,성남장례문화사업소 하늘누리 제1추모원,"경기도 성남시 중원구 순암로 787 (갈현동, 장례문화사업소)",031-754-2268
경기도,고양시덕양구,벽제중앙추모공원,경기도 고양시 덕양구 통일로414번길 196 (대자동),031-964-7799
강원특별자치도,원주시,대한불교일붕선교종 운계사,강원특별자치도 원주시 귀래면 북원로 586-107 (운계리),033-763-6355
경상남도,통영시,안정사 납골당,경상남도 통영시 광도면 안정1길 363 (안정리),055-649-7175
광주광역시,북구,광주영락공원 제1봉안당,광주광역시 북구 영락공원로 170 (효령동),062-572-4384
충청북도,음성군,생극납골공원,충청북도 음성군 생극면 일생로 497-27 (관성리),080-231-4444
경기도,안성시,유토피아추모공원(헤리티지별관),경기도 안성시 일죽면 화곡길 93 (화곡리),031-673-7904
전라남도,여수시,(재)예다원,전라남도 여수시 소라면 운암길 6 (봉두리),061-665-1004
충청북도,청주시,장미공원,충청북도 청주시 청원구 오창읍 양청3길 88 (양청리),043-270-7330
충청북도,청주시,청주시목련공원 제3목련당,"충청북도 청주시 상당구 목련로 731 (월오동, 목련장례식장)",043-270-8578
경기도,용인시처인구,불광사 지장전,경기도 용인시 처인구 백암면 박곡로208번길 24(박곡리),031-323-1207
경상남도,거창군,월평공설공원묘지 봉안당,경상남도 거창군 남상면 월평리 산201,055-940-3124
경기도,가평군,대한불교조계종 백련사,"경기도 가평군 상면 샘골길 159-50 (연하리, 백련사)",031-585-3855
경기도,남양주시,에덴추모공원,경기도 남양주시 화도읍 수레로964번길 113-13 (차산리),031-572-0001
경기도,남양주시,모란공원(봉안),경기도 남양주시 화도읍 경춘로2110번길 8-102 (월산리),031-594-6362
경상북도,청도군,보현사 무량수공원,"경상북도 청도군 청도읍 앞산공원길 14 (고수리, 보현사)",054-372-1434
경기도,화성시,천주교 비봉추모관,경기도 화성시 비봉면 화성로1946번길 26-11 (쌍학리),031-355-0191
인천광역시,서구,송월교회묘지,인천광역시 서구 마전동 산72-1,032-765-7851
제주특별자치도,서귀포시,만불사,제주특별자치도 서귀포시 안덕면 산록남로 513-62 (광평리),064-794-9899
경상남도,함안군,함안군공설봉안당,"경상남도 함안군 군북면 하림2길 181-78 (하림리, 마애사)",055-585-5114
울산광역시,남구,정토사 극락원,"울산광역시 남구 문수로217번길 15 (옥동, 정토사)",052-212-7000
경기도,양평군,운휴암,"경기도 양평군 강하면 강하1로 612 (항금리, 운휴암)",031-775-1027
전북특별자치도,전주시완산구,전주효자공원봉안원,"전라북도 전주시 완산구 콩쥐팥쥐로 1705-138 (효자동3가, 전주승화원)",063-239-2690
충청북도,제천시,(재)개나리추모공원 봉안담,충청북도 제천시 송학면 도화로 194 (도화리),043-642-4444
경상남도,거창군,가조공설공원묘지 봉안당,경상남도 거창군 가조면 일부리 산5,055-940-7823
강원특별자치도,홍천군,홍천군공설묘원 봉안당,강원특별자치도 홍천군 홍천읍 느리울길 141-22 (하오안리),033-430-2106
대전광역시,동구,천주교산내공원묘원 봉안담,대전광역시 동구 삼괴동 274-6,044-270-3030
대전광역시,유성구,녹야원추모관,대전광역시 유성구 현충원로 389-20 (구암동),042-824-0801
전북특별자치도,남원시,남원시승화당,"전라북도 남원시 솔터길 40-36 (광치동, 승화원)",063-632-5874
경기도,여주시,청운사 봉안당,"경기도 여주시 흥천면 부흥로 698 (귀백리, 청운사)",031-881-3371
대전광역시,서구,대전추모공원 영락원,대전광역시 서구 상보안윗길 160 (괴곡동),042-602-2500
충청북도,음성군,무지개추모공원 봉안탑(다래원),충청북도 음성군 생극면 오신로445번길 77 (신양리),043-883-4449
충청남도,당진시,안향정(솔뫼공설묘지),충청남도 당진시 우강면 우강송산로 64 (송산리),041-363-4786
서울특별시,동작구,흑석동성당 평화의쉼터,"서울특별시 동작구 흑석로13길 3 (흑석동, 흑석동천주교회)",02-816-2919
